,id,joke,funny,irony,exaggeration,wordplay,deprecation
66,Sn39Elb2LBd,[['What is this movie about? It is about 2 hours long.']],1,0,0,1,0
67,AsWLeVDAItc,"[[[""Somebody stole my Microsoft Office and they're going to pay - you have my Word.""]]]",2,0,0,1,0
68,6MCYoGB5Tf,"[[""My sister bet me $15 that I couldn't build a car out of spaghetti. You should have seen the look on her face as I drove pasta.""]]",2,0,0,1,0
69,bprz5wXSSvc,['Why did the scarecrow win an award? Because he was outstanding in his field.'],2,0,0,1,0
70,zdpjyXnjbFd,"[""I met this girl on a dating site and, I don't know, we just clicked.""]",1,0,0,1,0
71,usrcaMuszd,"[[""What's the worst thing about ancient history class? The teachers tend to Babylon.""]]",2,0,0,1,0
72,CdUnOKeiqzd,[[['which flower is most fierce? Dandelion']]],1,0,0,1,0
73,OfNRfaaUSf,"['When I left school, I passed every one of my exams with the exception of Greek Mythology. It always was my achilles elbow']",3,0,0,1,0
74,218xkq49prc,"[[""I was fired from the keyboard factory yesterday.  I wasn't putting in enough shifts.""]]",2,0,0,1,0
75,WLJJRKJeqjb,[[['I used to work in a shoe recycling shop. It was sole destroying.']]],2,0,0,1,0
76,AljqO7hFBd,"[['A farmer had 297 cows, when he rounded them up, he found he had 300']]",2,0,0,1,0
77,ljGB5o49Elb,"[[""Dad, can you put my shoes on? I don't think they'll fit me.""]]",1,0,0,0,0
78,ea2wkyscah,[[['What does an angry pepper do? It gets jalapeño face.']]],2,0,0,1,0
79,cxcpGeiyAd,[[['I went to the doctor today and he told me I had type A blood but it was a type O.']]],2,0,0,1,0
80,2gaMZLBszsc,['Why did the kid throw the clock out the window? He wanted to see time fly!'],2,0,0,1,0
81,SvXDImbMe,"[[""Don't tell secrets in corn fields. Too many ears around.""]]",2,0,0,1,0
82,s4Me29U0gqc,[['Cosmetic surgery used to be such a taboo subject.\r\nNow you can talk about Botox and nobody raises an eyebrow.']],2,0,0,1,0
83,CQSKeaFIBsc,[['What does a female snake use for support? A co-Bra!']],2,0,0,1,0
84,89MZLmWnWvc,"[[[""I can't take my dog to the pond anymore because the ducks keep attacking him. That's what I get for buying a pure bread dog.""]]]",2,0,0,1,0
85,MZga2gFlysc,['What is the least spoken language in the world?\r\nSign Language'],2,0,0,1,0
86,H6Elb2LBdxc,"[""What's blue and not very heavy?  Light blue.""]",2,0,0,1,0
87,ci311DtH6h,"['I’ll tell you something about German sausages, they’re the wurst']",2,0,0,1,0
88,uszdNZ8MRCd,"[[""My new thesaurus is terrible. In fact, it's so bad, I'd say it's terrible.""]]",3,0,0,1,0
89,h39UfibMJBd,[[['Did you hear about the cheese who saved the world? It was Legend-dairy!']]],2,0,0,1,0
90,jiVfq4MZDlb,[[['Sore throats are a pain in the neck!']]],2,0,0,1,0
91,Xny5MZvHQCd,"[['Can I watch the TV? Dad: Yes, but don’t turn it on.']]",1,0,0,0,0
92,DAskq4oWSvc,"['I was just looking at my ceiling. Not sure if it’s the best ceiling in the world, but it’s definitely up there.']",2,0,0,1,0
93,kqjNmbM7wsc,['Why do wizards clean their teeth three times a day? To prevent bat breath!'],1,0,0,0,0
94,gaUfNJ6hapb,[[['If you’re struggling to think of what to get someone for Christmas. Get them a fridge and watch their face light up when they open it.']]],2,0,0,1,0
95,IexXD5TnGBd,"[['I knew a guy who collected candy canes, they were all in mint condition']]",2,0,0,1,0
96,mOfqzdx51wc,"[""Why do mathematicians hate the U.S.? Because it's indivisible.""]",1,0,0,1,0
97,eqcpOf2EImb,"[[""To the person who stole my anti-depressant pills: I hope you're happy now.""]]",2,0,0,1,0
98,9xA51L6Uvc,[['What do you get when you cross a bee and a sheep? A bah-humbug.\r\n']],1,0,0,1,0
99,PfaMusPucFd,[['What do you do when your bunny gets wet? You get your hare dryer.']],2,0,0,1,0
100,pzkbpORS7wc,[['Parallel lines have so much in common. It’s a shame they’ll never meet.']],2,0,0,1,0
101,xXvzXga21wc,"[[[""How do locomotives know where they're going? Lots of training""]]]",1,0,0,0,0
102,EYo4TCAdUf,"['I tried to write a chemistry joke, but could never get a reaction.']",2,0,0,1,0
103,n3gVSC5oOmb,"[[""What's black and white and read all over? The newspaper.""]]",2,0,0,1,0
104,4Elysrzs4wc,"[[[""What's the difference between a rooster and a crow? A rooster can crow but a crow cannot rooster.""]]]",2,0,0,1,0
105,mGtHtcUfqjb,[[['Did you hear that David lost his ID in prague? Now we just have to call him Dav.']]],2,0,0,1,0
106,cFd21gNClyd,"[[""Why is no one friends with Dracula? Because he's a pain in the neck.""]]",2,0,0,1,0
107,eNuHJBQCdFd,[[['How do you organize a space party? You planet.']]],2,0,0,1,0
108,baFQZv4w5wc,['My New Years resolution is to stop leaving things so late.'],1,0,0,0,0
109,pzsrrcU08pb,[['The best time on a clock is 6:30--hands down.']],2,0,0,1,0
110,1oGYLu4T7Ed,[['Why is Peter Pan always flying? Because he Neverlands.']],2,0,0,1,0
111,vPuzAd299pb,[['How come a man driving a train got struck by lightning? He was a good conductor.']],2,0,0,1,0
112,bxXLeqzP7wc,"[[""Americans can't switch from pounds to kilograms overnight. That would cause mass confusion.""]]",3,0,0,1,0
113,pGe2EYozAsc,[['What do you call a nervous javelin thrower? Shakespeare.']],2,0,0,1,0
114,B5hNeNJYgFd,['What did the green grape say to the purple grape?\r\nBREATH!!'],1,0,0,0,0
115,NJBl3TnrHlb,"[[[""The other day, my wife asked me to pass her lipstick but I accidentally passed her a glue stick. She still isn't talking to me.""]]]",2,0,0,1,0
116,S7wHQKJe2wc,['How are false teeth like stars? They come out at night!'],1,0,0,1,0
117,QnWnWSfiqc,"[[""Why can't a bicycle stand on its own? It's two-tired.""]]",2,0,0,1,0
118,X0wkGJtPKuc,[['Why do ducks make great detectives? They always quack the case.']],2,0,0,1,0
119,IRKJBQ7p4wc,"[' I never wanted to believe that my Dad was stealing from his job as a road worker. But when I got home, all the signs were there.\r\n\r\n']",2,0,0,1,0
120,nWDdFdFYLuc,"['Have you heard about the film ""Constipation"", you probably haven\'t because it\'s not out yet.']",2,0,0,1,0
121,scUvsrORKe,"[['I asked a frenchman if he played video games. He said ""Wii""']]",2,0,0,1,0
122,ozPmbFtWDlb,"[[[""Some people say that comedians who tell one too many light bulb jokes soon burn out, but they don't know watt they are talking about. They're not that bright.""]]]",2,0,0,1,0
123,EQKZDIeah,[['Atheism is a non-prophet organisation.']],2,0,0,1,0
124,lGlbhqjGJBd,[['How does the moon cut his hair? Eclipse it.']],2,0,0,1,0
125,MeqOZgV8MCd,"[""Every morning when I go out, I get hit by bicycle. Every morning!  It's a vicious cycle.""]",3,0,0,1,0
126,A5ozsH6pWnb,[['What do you call a troublesome Canadian high schooler? A poutine.']],3,0,0,1,0
127,3w5wAIRZTnb,[['A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.']],2,0,0,1,0
128,GlbxXg3TClb,"[[['A woman is on trial for beating her husband to death with his guitar collection. Judge says, ‘First offender?’ She says, ‘No, first a Gibson! Then a Fender!’']]]",2,0,0,1,0
129,I6h3ozAIYDd,['Where do hamburgers go to dance? The meat-ball.'],2,0,0,1,0
130,jbpbFlORCAd,"[[""People who don't eat gluten are really going against the grain.""]]",2,0,0,1,0
131,08EQZ8EQukb,"[""Did you hear about the guy whose whole left side was cut off? He's all right now.""]",2,0,0,1,0
132,CtWgqjbMeib,['What kind of bagel can fly? A plain bagel.'],2,0,0,1,0
133,NRZTSnykqjb,['Where do you take someone who’s been injured in a peek-a-boo accident? To the I.C.U.'],2,0,0,1,0
134,GYDY8xXLmyd,['Why did the girl smear peanut butter on the road? To go with the traffic jam.'],2,0,0,1,0
135,u4Tvkba21wc,[['Why did Sweden start painting barcodes on the sides of their battleships? So they could Scandinavian.']],2,0,0,1,0
136,HeiqcaMRKBd,[['What’s the longest word in the dictionary? Smiles. Because there’s a mile between the two S’s.']],2,0,0,1,0
137,m3E69pbhaFd,"[['I gave all my dead batteries away today, free of charge.']]",2,0,0,1,0
138,nWvcUD5orrc,"[['I asked the surgeon if I could administer my own anesthetic, they said: go ahead, knock yourself out.']]",2,0,0,1,0
139,4orc2TCtzAd,"[[['When people are sad, I sometimes let them colour in my tattoos. Sometimes all they need is a shoulder to crayon.']]]",3,0,0,1,0
140,wXDIB5h3wc,[[['I used to have a job at a calendar factory but I got the sack because I took a couple of days off.']]],2,0,0,1,0
141,4TKukj3gyAd,"[['Yesterday, I accidentally swallowed some food coloring. The doctor says I’m okay, but I feel like I’ve dyed a little inside.']]",2,0,0,1,0
142,18Elj3EIYvc,"[""I'll tell you what often gets over looked... garden fences.""]",2,0,0,1,0
143,71gF6wHBsrc,['A book just fell on my head. I only have my shelf to blame.'],2,0,0,1,0
144,mGeFlykbFBd,[['What do you call a sheep with no legs? A cloud.']],1,0,0,0,0
145,pWn31TCQ7pb,"[[[""What do you call a duck that gets all A's? A wise quacker.""]]]",1,0,0,1,0
146,xcFBQClq4wc,[['A butcher accidentally backed into his meat grinder and got a little behind in his work that day.']],2,0,0,1,0
147,0DdFQZgyXnb,[[['Where do fish keep their money? In the riverbank']]],2,0,0,1,0
148,NRuHJYgaUDd,"[[""How many hipsters does it take to change a lightbulb? Oh, it's a really obscure number. You've probably never heard of it.""]]",1,0,0,0,0
149,VDdxcp4ob,[[['How do you make Lady Gaga cry? Poker face. ']]],2,0,0,1,0
150,vX8MeFdUDlb,"[[[""Dad died because he couldn't remember his blood type. I will never forget his last words. Be positive.""]]]",2,0,0,1,0
151,UKeiNeVnrc,"[[[""Mountains aren't just funny, they are hill areas""]]]",2,0,0,1,0
152,UfqHY8EQClb,['I wear a stethoscope so that in a medical emergency I can teach people a valuable lesson about assumptions.'],3,1,0,0,0
153,3El3TCYDYob,['Conjunctivitis.com – now that’s a site for sore eyes.'],2,0,0,1,0
154,wsPKZozsc,['Did you know you should always take an extra pair of pants golfing? Just in case you get a hole in one.'],2,0,0,1,0
155,99UDQZgyIBd,"[[[""Two satellites decided to get married. The wedding wasn't much, but the reception was incredible.""]]]",2,0,0,1,0
156,Z8xHBQZ0Lmb,"[[[""I ordered a chicken and an egg from Amazon. I'll let you know.""]]]",3,0,0,1,0
157,zPRCljGQ7Ed,[['I have the heart of a lion... and a lifetime ban from the San Diego Zoo.']],3,0,0,1,0
158,18h3wcU8xAd,['Why did the kid cross the playground? To get to the other slide.'],2,0,0,1,0
159,DY8UvkqHexc,"[""Why did the half blind man fall in the well? Because he couldn't see that well!""]",2,0,0,1,0
160,ZDtzdFlqOf,[[['Did you hear about the cow who jumped over the barbed wire fence? It was udder destruction.']]],2,0,0,1,0
161,cp4TCdahqc,"['I got fired from a florist, apparently I took too many leaves.']",2,0,0,1,0
162,oGY0wsWnysc,"[[""You can't trust a ladder. It will always let you down""]]",1,0,0,0,0
163,sPfqWDlq4Ed,"[['""Hey, dad, did you get a haircut?"" ""No, I got them all cut.""']]",1,0,0,1,0
164,2TnrHtcNuc,"[[[""When will the little snake arrive? I don't know but he won't be long...""]]]",2,0,0,1,0
165,fVv4MRuHBsc,[[['How do robots eat guacamole? With computer chips.']]],2,0,0,1,0
166,HQuXvkjqcpb,['Where does Napoleon keep his armies? In his sleevies.'],1,0,0,0,0
167,2gFIBX82Etc,[['Do I enjoy making courthouse puns? Guilty']],2,0,0,1,0
168,ozPf21LJJtc,[['Where does batman go to the bathroom? The batroom.']],2,0,0,1,0
169,ZobU08UKBd,"[[""A doll was recently found dead in a rice paddy. It's the only known instance of a nick nack paddy wack.""]]",2,0,0,1,0
170,DIeaUDlbUDd,[['“My Dog has no nose.” “How does he smell?” “Awful”']],1,0,0,1,0
171,A5MCY821gib,"[[""Why do bees hum? Because they don't know the words.""]]",1,0,0,1,0
172,Z82wXvsrrzd,"[[['My friend keeps telling me ""Cheer up. You aren\'t stuck in a deep hole in the ground, filled with water.""\r\nI know he means well.']]]",2,0,0,1,0
173,ykb2TSKRSnb,['Why are giraffes so slow to apologize? Because it takes them a long time to swallow their pride.'],3,0,0,1,0
174,IBszdxXDAsc,[['I invented a new word! Plagiarism!']],3,0,0,1,0
175,IeiyIRSnbxc,"[[""I applied to be a doorman but didn't get the job due to lack of experience. That surprised me, I thought it was an entry level position.""]]",2,0,0,1,0
176,HlbFQ71wkyd,"[""I just broke my guitar. It's okay, I won't fret""]",2,0,0,1,0
177,M7wPC5wPKBd,['Did you hear the one about the guy with the broken hearing aid? Neither did he.'],2,0,0,1,0
178,K6USKBXvcib,['What do you call a crowd of chess players bragging about their wins in a hotel lobby? Chess nuts boasting in an open foyer.'],3,0,0,1,0
179,KBsrz5ws4Ed,[['Why are fish easy to weigh? Because they have their own scales.']],2,0,0,1,0
180,DtcaMmWDImb,[[['Why did Dracula lie in the wrong coffin? He made a grave mistake.']]],2,0,0,1,0
181,qjbF6E6wHlb,[['Why did the belt go to prison? He held up a pair of pants!']],1,0,0,1,0
182,GeFQZ89h,['The rotation of earth really makes my day.'],1,0,0,1,0
183,Me2wAAl31wc,['Velcro… What a rip-off.'],1,0,0,1,0
184,ucxPZDAlGlb,"[['If two vegans are having an argument, is it still considered beef?']]",2,0,0,1,0
185,rHBQuXLR7h,['Why did the cookie cry?\r\nBecause his mother was a wafer so long'],2,0,0,1,0
186,zsHBljyk3wc,"[[[""Have you heard about corduroy pillows?  They're making headlines!""]]]",3,0,0,1,0
187,lbU01DljGtc,"[""I couldn't get a reservation at the library. They were completely booked.""]",2,0,0,1,0
188,xHQucUvszd,['To the guy who invented zero... thanks for nothing.'],2,0,0,1,0
189,haahVKZDtrc,"[[""What's red and bad for your teeth? A Brick.""]]",2,0,0,1,0
190,21DQnbaaxc,['Whoever invented the knock-knock joke should get a no bell prize.'],2,0,0,1,0
191,xs4o49hF6pb,[['What kind of pants do ghosts wear? Boo jeans.']],2,0,0,1,0
192,exc2w5MmOCd,['I saw my husband trip and fall while carrying a laundry basket full of ironed clothes. I watched it all unfold.'],2,0,0,1,0
193,ZgFtPfa2LBd,['How come the stadium got hot after the game? Because all of the fans left.'],2,0,0,1,0
194,c2LJR7Ed2ob,[[['An apple a day keeps the bullies away. If you throw it hard enough.']]],2,0,0,1,0
195,KeqOmOZDYDd,['Why is it so windy inside an arena? All those fans.'],2,0,0,1,0
196,xXg3LZLZDd,"[[['*Reversing the car* ""Ah, this takes me back""']]]",3,0,0,1,0
197,3oG6UvX82g,"[[[""Which is the fastest growing city in the world? Dublin'""]]]",3,0,0,1,0
198,6hqHJmyPmyd,"[""What kind of music do mummy's like? Rap""]",2,0,0,1,0
199,oGBIRKuPukb,"[['""What time is it?"" I don\'t know... it keeps changing.']]",2,0,0,1,0
200,QfiyAAlbpzd,[['What do you call a criminal going down the stairs? Condescending']],2,0,0,1,0
201,diNuky5M7pb,[[['We all know where the Big Apple is but does anyone know where the Minneapolis?']]],2,0,0,1,0
202,ahqjV82LBAd,[[['I was thinking about moving to Moscow but there is no point Russian into things.']]],2,0,0,1,0
203,4EBXnjiVKBd,[[['Why did the sentence fail the driving test? It never came to a full stop.']]],2,0,0,1,0
204,apjyd21DQuc,[['I got an A on my origami assignment when I turned my paper into my teacher']],2,0,0,1,0
205,K6UvXD5Mexc,[[['Which side of the chicken has more feathers? The outside.']]],3,0,0,1,0
206,G6EtkOZD5h,"['Why can\'t you use ""Beef stew"" as a password? Because it\'s not stroganoff.']",3,0,0,1,0
207,W82EtW01wkb,[[['What happens when you anger a brain surgeon? They will give you a piece of your mind.']]],2,0,0,1,0
208,4EBsPZvP7h,"[[""Some people eat light bulbs. They say it's a nice light snack.""]]",2,0,0,1,0
209,EIJmGY8Etrc,"[[""Doctor: Do you want to hear the good news or the bad news?\r\nPatient: Good news please.\r\nDoctor: we're naming a disease after you.""]]",3,0,0,1,0
210,ImydN7hy5h,[['Why was the shirt happy to hang around the tank top? Because it was armless']],2,0,0,1,0
211,9pGJRSnbMCd,[['Why did the knife dress up in a suit? Because it wanted to look sharp']],2,0,0,1,0
212,tHJtrrzP7wc,"['Mahatma Gandhi, as you know, walked barefoot most of the time, which produced an impressive set of calluses on his feet. \r\nHe also ate very little, which made him rather frail and with his odd diet, he suffered from bad breath. \r\nThis made him a super calloused fragile mystic hexed by halitosis.']",2,0,0,1,0
213,rjqOZoO7pb,[['Why was the picture sent to prison? It was framed.']],2,0,0,1,0
214,vkV0L6wcFlb,[[['Did you hear about the runner who was criticized? He just took it in stride']]],2,0,0,1,0
215,VvP7U0D5TCd,"[[['I was at the library and asked if they have any books on ""paranoia"", the librarian replied, ""yes, they are right behind you""']]]",2,0,0,1,0
216,08xHQCdx5Ed,[['Why didn’t the skeleton cross the road? Because he had no guts.']],2,0,0,1,0
217,C5TKmb21ojb,"['I tried to milk a cow today, but was unsuccessful. Udder failure.']",2,0,0,1,0
218,5T08U8M79pb,['Never take advice from electrons. They are always negative.'],2,0,0,1,0
219,lqWgFlyPusc,[['What do you call an Argentinian with a rubber toe? Roberto']],2,0,0,1,0
220,0oO71TSv4Ed,[['Why was it called the dark ages? Because of all the knights. ']],2,0,0,1,0
221,GQuzAAXgah,[[['Some people say that I never got over my obsession with Phil Collins.\r\nBut take a look at me now.']]],2,0,0,1,0
222,82wAAI6pbh,[[['How many tickles does it take to tickle an octopus? Ten-tickles!']]],2,0,0,1,0
223,diGeqOfiqc,[[['What’s E.T. short for? He’s only got little legs.']]],3,0,0,1,0
224,fiydpr4EQnb,[[['What’s brown and sounds like a bell? Dung!']]],2,0,0,1,0
225,FBskq4MRnrc,[[['Just watched a documentary about beavers… It was the best damn program I’ve ever seen.']]],3,0,0,1,0
226,8pWvzkjN7Ed,"[[['Two muffins were sitting in an oven, and the first looks over to the second, and says, “man, it’s really hot in here”. The second looks over at the first with a surprised look, and answers, “WHOA, a talking muffin!”']]]",2,1,0,0,0
227,tkji39992Ed,[[['What biscuit does a short person like? Shortbread. ']]],2,0,0,1,0
228,82gqciGBdFd,"['I used to be addicted to the hokey pokey, but I turned myself around.']",2,0,0,1,0
229,kOf2gFY0gqc,[[['I think circles are pointless.']]],2,0,0,1,0
230,MZDtW0gi3g,"[[['Yesterday I confused the words ""jacuzzi"" and ""yakuza"". Now I\'m in hot water with the Japanese mafia.']]]",3,0,0,1,0
231,M7ElyAQCAd,[[['How was the snow globe feeling after the storm? A little shaken.']]],2,0,0,1,0
232,SnrcpbhVKBd,[['Where does Fonzie like to go for lunch? Chick-Fil-Eyyyyyyyy.']],2,0,0,1,0
233,exH6pOuzXDd,[['How do you get a baby alien to sleep?  You rocket.']],2,0,0,1,0
234,ZDAlOZgydxc,[['How many optometrists does it take to change a light bulb? 1 or 2? 1... or 2?']],2,0,0,1,0
235,daaUfibh,[[['Why was the big cat disqualified from the race? Because it was a cheetah.']]],2,0,0,1,0
236,g3LZTCYDYg,['What do you call a pig with three eyes? Piiig'],2,0,0,1,0
237,rcxk3TSKusc,[[['What did the grape do when he got stepped on? He let out a little wine.']]],2,0,0,1,0
238,ea2TnGBXnrc,[['They laughed when I said I wanted to be a comedian – they’re not laughing now.']],2,0,0,1,0
239,FdN7hiG6Uvc,"[""Why can't eggs have love? They will break up too soon.""]",2,0,0,1,0
240,zPZ0TClqrc,[['What do you call a guy lying on your doorstep? Matt.']],2,0,0,1,0
241,BI699EY08Ed,['Bad at golf? Join the club.'],2,0,0,1,0
242,6U0DIBAlbxc,"[[[""If at first you don't succeed, sky diving is not for you!""]]]",2,0,0,1,0
243,7h3oGtrOfxc,['Whiteboards ... are remarkable.'],2,0,0,1,0
244,EBQfiyXD5ob,[['what do you call a dog that can do magic tricks? a labracadabrador']],2,0,0,1,0
245,SnOf2gqjiqc,['Why are pirates called pirates? Because they arrr!'],2,0,0,1,0
246,DtWSnydN7h,"[[""It's difficult to say what my wife does, she sells sea shells by the sea shore.""]]",2,0,0,1,0
247,J69x5hNZvzd,"[[""I don't trust sushi, there's something fishy about it.""]]",2,0,0,1,0
248,NucUfVvXLBd,"[[[""What did the hat say to the scarf?\r\nYou can hang around. I'll just go on ahead.\r\n""]]]",2,0,0,1,0
249,7USvkbaahFd,[[['What do you call a boy who stopped digging holes? Douglas.']]],2,0,0,1,0
